source,name,price,description,origin,process,roast_level,notes
instinct roastery,candy apple espresso roast  instinct roastery  200 gram,195000,50 toraja washed  20 colombia sequoias watermelon  30 flores natural a little fun we have on the roastery when we stumble on this sample on our cupping table we thought what if we make a blend that tastes like candy and apple at the same time and just like that this blend is made out of a combination weve never thought before with our toraja pangopango washed as our base we give a combination with flores natural which enhances the sweetness and mouthfeel together with toraja and the colombia sequoias added that fun with notes that has two layers apple and also watermelon notes this blend will give you a sense of eating fruit candy a little gift from us to you merry christmas,"colombia, toraja, flores","washed, natural",unknown,"fruity, sweet"
instinct roastery,ethiopia tima washed  instinct roastery  150 gram,185000,region  guji process  washed variety  74110 altitude  2150 masl this ethiopia flaunts its light body and this tima we bring tima with sweeter notes that reminds you of peach guji has been constantly be the region that produces complex and high quality ethiopian coffee the condition of its terroir and also high altitude which revolves around 20002150 masl creating a slow process of ripe cherry which also resulting in complex and delicate flavor this is for you who looks for light bodied coffee with notes of peach and layer of bergamot with that classic floral notes of ethiopia,ethiopia,washed,light,floral
instinct roastery,espresso roast kenya tatu  instinct roastery  200 gram,195000,process  natural region  kiambu county farm  tatu estate variety  sl28  sl34 releasing espresso roast has been nothing but a joy for us offering you different kind of flavor spectrum for your daily espresso is our goals in through this platform this time we bring you natural kenyan coffee from tatu estate tatu estate is a part of kofinaf company a historical and big producer of coffee in kenya it has its own record of consistently bringing good coffee on your cupping table and furthermore this natural processed coffee less known in kenya where most of them are washed is bringing something unique yet excellent in its juiciness and sweetness this is a balanced cup of espresso in its fruitiness that reminds you of red fruits like currant and pomegranate yet sweetness that taste caramelish,kenya,"washed, natural",unknown,sweet
instinct roastery,ethiopia sidama baturo  instinct roastery  150 gram,220000,process  anaerobic natural variety  74158 region  sidama farm  karamo washing station a little subjective personal description on this beans as one of our team usually do not enjoy anaerobic natural beans and on her first sip it is just an entirely different texture and experience for her this beans has our hearts on its first roast with such delicate texture and orange spectrum that reminds you of tangerine with layers of stonefruit that reminds you of nectarine and closed with that taste of oolong tea this is juicy yet tealike perfect for any time of the day,ethiopia,"natural, anaerobic",unknown,"fruity, herbal"
instinct roastery,colombia eliecer ordez  instinct roastery  150 gram,175000,process  washed variety  pink bourbon region  huila farm  el placer owned by pastor ordez finca el placer has been known for growing caturra and pink bourbon varieties as its highlight located in the region of huila colombia this farm is known for its microlots rather than bulk commercial lots el placer is a part of associacion los naranjos a community of small producers that has strict and careful procedures in processing its coffee resulting in consistency of high quality coffee this colombia has been nothing but a joy ever since we cup it in our cupping table and we are delighted to present it for you to try this coffee has balanced quality with red currant in the spotlight on your first sip layers of pomelo bright acidity and wrapped with sugarcane mellow sweetness,colombia,washed,unknown,sweet
instinct roastery,burundi kayanza natural  instinct roastery  150 gram,185000,process  natural variety  bourbon farm  long miles region  kayanza a connection built from last year to osito brought us to this new region from ethiopia to our shelf we love when connections bring us a lot of excitements and new things to explore together a first time for us to exhibit burundi region coffee beans and it doesnt disappoint the littlest bit this burundi is sourced from long miles coffee farm a renowned coffee farm that develops washing station mainly on burundi with transparancy and hard work long miles has been known for its quality in specialty coffee industry this is for you who wants that juiciness of purple fruits with hint of chocolate liquor adding to its sweetness,ethiopia,natural,unknown,"chocolate, sweet"
instinct roastery,caramel floral  instinct roastery espresso blend  200 gram,190000,toraja pangopango washed  ethiopia washed the moment we cupped the samples from the toraja a few months ago we knew how the quality of the flavor that this toraja gives is just beautiful we knew how a lot of you also longs for another espresso blend from us so here we are presenting you with such collaboration this toraja gives you beautiful caramelish sweetness that has very round quality and also smooth at the same time then comes the acidity citrusy acidity coming from the ethiopian washed which creates such harmonious flavor making this a balanced espresso blend with sweetness but also that elegant aromatic quality,"ethiopia, toraja",washed,unknown,"caramel, floral, sweet"
instinct roastery,toraja pangopango washed  instinct roastery  200 gram,180000,variety  slini bourbon process  washed region  tana toraja farm  aluk coffee altitude  1600 masl this local beans captured our heart on the cupping table when we sample this we feel a little excitement of adding another region of indonesia to our shelf this classic washed toraja from pangopango gives its charm with its clean finish cheery bright citrusy acidity that reminds you of lemon topped with acidity of stonefruit that gives balance to the lemon ish acidity and sweetness that wraps it off like honey,"indonesia, toraja","washed, honey",unknown,"fruity, sweet"
instinct roastery,ethiopia sidama karama washed  instinct roastery  200 gram,195000,region  bura karamo altitude  2200 masl process  washed variety  heirloom a big big smile in our roastery team upon cupping this ethiopian classic washed process we always know that a lot of you excited when we release any ethiopian beans we also always aim for giving you varieties of ethiopian beans this beautiful classic washed boasts about its refined acidity of mandarin orange with layers of bergamot and what makes this beans even more excellent is the fact that it has sweetness that reminds you of sugarcane purchase this if you want to find yourself sipping light refined cup of acidity with touch of balanced sweetness,ethiopia,washed,light,"fruity, sweet"
instinct roastery,bali berry  instinct roastery  200 gram,180000,seasonal espresso blend for you a creation from one of our roastery team an idea to highlight our components for wholesale beans which hasnt come to spotlight to many this blend is based on our bali karana a cm natural beans that has been on our lineup for years partnered up with bali we go with the favorite blueberry apple the aceh blend and topping it off with brazil this blend is for you who loves a balanced coffee with notes of chocolate and fruitiness,"brazil, aceh, bali",natural,unknown,"chocolate, fruity"
